Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2018-01-01,183.64535522460938,186.44588941594114,182.91021250308816,184.3104906934058,10863895
2018-01-02,182.56016540527344,184.97562657290337,182.35012144473086,183.85541060776364,5907460
2018-01-03,182.84022521972656,183.89042288251304,182.455152003728,182.9452472049358,11443370
2018-01-04,183.12026977539062,183.9604345317858,182.45514535284792,182.70019294451933,9729737
2018-01-05,184.06546020507812,184.48553704437515,183.36532104493025,183.36532104493025,9566733
2018-01-08,185.95582580566406,186.79599059328646,184.31051095528275,184.83560978705188,14989106
2018-01-09,189.42149353027344,190.43667645653312,185.36070635197038,185.88580517731785,26728897
2018-01-10,188.61634826660156,191.8369709387743,188.3713117428367,191.45189769478122,17074502
2018-01-11,188.89637756347656,189.7365534085821,187.7061432424471,188.6863336022002,11722150
2018-01-12,187.32107543945312,189.98159537675505,186.34090724076887,189.21144895609237,8494789
2018-01-15,187.35609436035156,189.80657038521431,186.93600641628763,187.63614559329216,10944192
2018-01-16,183.22531127929688,188.12625254026412,182.5951904185247,187.77619402456585,13433905
2018-01-17,186.27085876464844,186.93598313370538,181.71998796488205,183.43532096864396,17006334
2018-01-18,191.4168701171875,192.71212648244168,186.69096951368593,187.63614519652504,27461089
2018-01-19,192.22201538085938,194.28741801157986,189.8065542859814,193.23722042980302,26700710
2018-01-22,191.59193420410156,192.88716846557557,190.22667048793676,192.5371099493518,8660321
2018-01-23,193.65731811523438,194.11242082092642,191.52190787705894,191.83697386039006,18947034
2018-01-24,197.05294799804688,197.4380433940242,193.2722231900035,193.6923111206657,17971710
2018-01-25,196.91293334960938,198.27819693404717,195.05757457616042,196.73790410838512,13629982
2018-01-29,192.99221801757812,198.34825165434987,192.53713744364026,196.84297319246494,9938281
2018-01-30,192.67706298828125,193.55223118884308,190.40163898040083,192.53704850219964,13560150
2018-01-31,190.01661682128906,193.2372393258284,188.93140441125547,191.7669536918448,19675610
2018-02-01,192.7471466064453,203.24916796555587,187.2160846866972,190.43668504356788,61648368
2018-02-02,192.7821044921875,199.99349474621232,189.59649724461042,192.11698014261677,36356576
2018-02-05,195.51263427734375,197.22797835136228,190.33165390294906,191.5218659304541,20465290
2018-02-06,191.48690795898438,194.14740587754096,187.741175409896,189.0014171053457,16432103
2018-02-07,192.64212036132812,195.16260365668066,191.83695919524695,194.6374937246046,13455081
2018-02-08,191.906982421875,193.86736341230858,190.8917993878128,193.02720964039764,10156564
2018-02-09,189.98159790039062,190.78675905607182,187.49612936238256,189.73656139479104,14751166
2018-02-12,188.93138122558594,191.73191543693213,188.54630804889212,190.7517251345654,6972242
2018-02-14,186.5859375,189.73655252587815,185.605747144807,189.03641338798246,11738542
2018-02-15,187.70614624023438,188.96641002801985,185.39570700790503,186.5859413479433,12188244
2018-02-16,186.5509490966797,189.56152784400896,185.95584294962458,188.93141806351625,6401588
2018-02-19,184.90562438964844,187.49612596036488,183.78539729911716,186.23588435183316,6303342
2018-02-20,184.31051635742188,186.0958568756264,183.54036990230045,184.83561520458164,9659227
2018-02-21,187.77618408203125,188.30127182777585,184.4505396017566,184.8356128243585,10961665
2018-02-22,187.00604248046875,188.33629143131083,185.85081168808816,187.07604974385333,19855003
2018-02-23,188.37130737304688,189.03643185275936,186.30590448076603,187.2510802051308,6780714
2018-02-26,186.62095642089844,188.68633696858663,186.23588321478994,188.0212125388815,8701511
2018-02-27,186.51593017578125,187.77617174781733,185.88579829511076,187.63613504456671,7716072
2018-02-28,185.5707550048828,186.44591233945422,184.17048773705417,185.53575137421672,13969189
