Price,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,
2018-01-01,531.6731567382812,542.1853245420516,529.0798662925488,529.3114110918016,5314142
2018-01-02,529.9136352539062,539.0364809188204,525.3290353216325,534.4055833164251,3839130
2018-01-03,527.0423583984375,536.2115567594221,525.1437019986989,532.5531369475342,2182632
2018-01-04,538.2955322265625,540.8425258303681,518.7531110214753,529.7746695915654,6246746
2018-01-05,536.0263061523438,543.9914260596101,532.8309760451896,541.8149271691077,4600683
2018-01-08,547.9276123046875,559.9679423484913,542.8799807022267,544.5933896735858,10475190
2018-01-09,543.2042236328125,553.8552868412991,541.2129152907282,552.9291074318654,4025566
2018-01-10,541.907470703125,550.1504888550071,538.4806526123057,547.1867038717744,2929462
2018-01-11,544.547119140625,554.3182992415738,537.6470721967144,542.5095134181316,5930449
2018-01-12,540.3792724609375,547.7887061557534,536.8134485776117,546.4457349926694,2842683
2018-01-15,533.89599609375,543.4819279316966,532.0899353987699,543.4819279316966,4456611
2018-01-16,535.0537109375,540.842330675595,529.9134279159695,534.7295143144729,4868363
2018-01-17,540.6572265625,542.6485348909774,534.1276730765112,539.9625920101713,4812606
2018-01-18,534.1276245117188,545.9364108276095,531.9047715345748,542.7410808715274,3679687
2018-01-19,529.8671264648438,537.7860042782062,525.6993198386509,537.1839651537358,4693971
2018-01-22,533.6183471679688,536.1653408198466,526.8571915230112,530.7008591003769,3072409
2018-01-23,536.5819091796875,542.6020741173671,533.0161417899362,536.2577690640713,4790590
2018-01-24,543.2505493164062,552.4660462214758,532.6457832255325,534.405546806021,7168397
2018-01-25,537.0451049804688,552.0029249719639,535.3316956942872,547.3720279503871,4213982
2018-01-29,544.547119140625,550.3357396423123,535.6557641323351,538.1564594949634,6006564
2018-01-30,548.2518920898438,550.8451830327733,537.2303349205142,542.4632709987048,3542190
2018-01-31,537.0914306640625,550.9841209913326,532.5994268738775,546.4458195392904,4781423
2018-02-01,513.3812255859375,537.184047261891,508.981873474741,537.184047261891,8789899
2018-02-02,510.5101318359375,525.4678962610483,504.4436676529572,511.25106410119696,10873325
2018-02-05,516.298583984375,519.0771214640331,494.16287945130256,499.02532004070434,4734366
2018-02-06,511.06573486328125,513.5664303204258,491.9864635803997,497.3582923030994,6325143
2018-02-07,508.9356384277344,516.2987768046111,502.5449772260276,514.9558052153236,5110233
2018-02-08,540.9813842773438,543.667327245213,494.3945700969857,500.1831915540259,13707589
2018-02-09,539.684814453125,542.7411955453449,528.0149186516786,528.0149186516786,3796079
2018-02-12,545.6586303710938,563.9969716640791,541.8149631489187,542.7411425731049,10261511
2018-02-14,532.3678588867188,548.1129072396668,529.033635964953,547.325677433819,6630066
2018-02-15,533.247802734375,541.7686647309514,523.6618683191678,523.6618683191678,10715444
2018-02-16,532.7845458984375,534.9147465970012,521.7629916113856,532.9234953800889,6640151
2018-02-19,519.95703125,534.6369491207741,512.686490531788,532.5530458976963,3518880
2018-02-20,518.1973266601562,524.8195313731536,515.8818783730242,522.967172743448,2481944
2018-02-21,486.9387512207031,521.4389290294929,473.55544946280355,518.7066888769914,21898950
2018-02-22,501.47979736328125,506.6200812141244,485.31795714113565,488.55958471746004,12473655
2018-02-23,527.5980834960938,532.7846651868513,505.69391949938426,509.3986368583541,30844893
2018-02-26,514.909423828125,529.6819958494305,512.5013235869096,527.922232462754,8083731
2018-02-27,504.5824890136719,521.8557561756922,502.0354958494303,514.9094111823061,6920945
2018-02-28,495.830078125,511.57512662135866,493.3294391756487,502.91537256016125,8366660
