Price,Close,High,Low,Open,Volume
Ticker,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS
Date,,,,,
2018-03-12,1060.786376953125,1063.130138280905,1050.0050748453382,1060.411352252386,527293
2018-03-13,1069.036376953125,1071.5675932077395,1054.879968114359,1054.879968114359,711550
2018-03-14,1065.9423828125,1072.9267440297253,1060.411084586838,1068.70797470461,1360578
2018-03-15,1088.2548828125,1091.0204743285344,1061.3953655401008,1061.3953655401008,1146702
2018-03-16,1052.5833740234375,1087.4116955935172,1048.5052515748375,1087.4116955935172,1946844
2018-03-19,1033.6453857421875,1053.7548066947961,1029.2859679685519,1051.0829423952903,855444
2018-03-20,1037.3487548828125,1047.192552376052,1023.8955878636792,1033.129984528567,720303
2018-03-21,1034.583251953125,1046.2551385012105,1031.2550648309423,1037.3488447594887,612237
2018-03-22,1037.9112548828125,1040.6300409411333,1031.2549955272493,1033.5987568807202,478426
2018-03-23,1043.1143798828125,1050.0050149048325,1024.7393150102707,1026.4267544050606,828523
2018-03-26,1047.708251953125,1049.0675877692663,1032.1925059284738,1042.5050559422914,479675
2018-03-27,1060.411376953125,1066.8801812567729,1046.6301058013537,1049.0675947507282,672158
2018-03-28,1050.3800048828125,1060.176880573421,1045.3174579827653,1060.176880573421,699839
2018-04-02,1078.2705078125,1081.8329552044254,1042.0359466098014,1050.3797571047703,428944
2018-04-03,1080.098876953125,1084.4113746266503,1067.7706702848525,1073.4895391047821,561118
2018-04-04,1065.0050048828125,1085.3488047100657,1055.6299608257455,1084.5988698503736,607619
2018-04-05,1071.473876953125,1084.5052119172783,1066.45825094891,1079.817689587832,549137
2018-04-06,1072.0362548828125,1080.755091363731,1064.0674676799233,1071.4737751450166,395626
2018-04-09,1085.114501953125,1098.2864855202001,1068.7081737443298,1073.442617089739,837112
2018-04-10,1084.4583740234375,1094.7240029350326,1080.849004441457,1086.5677592333382,546269
2018-04-11,1083.614501953125,1086.1926392056353,1069.8800387923693,1084.6926549651944,419140
2018-04-12,1092.38037109375,1096.7867116083587,1073.349095386458,1077.6615938829907,360744
2018-04-13,1089.5673828125,1103.3018428276414,1085.4892622535642,1096.8799616668532,639579
