Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2018-01-01,415.24420166015625,419.64350843561266,413.8179164085027,416.91148703995174,5431340
2018-01-02,413.6974182128906,418.6391475373377,411.005612217559,416.730763707393,6112248
2018-01-03,410.3226318359375,414.46080685758034,409.23786131990886,413.21534503808317,6846552
2018-01-04,407.95220947265625,410.2020837668729,405.62195274861466,410.2020837668729,8947614
2018-01-05,406.5861511230469,412.37157652086466,404.1755612942541,407.91197062452534,11025976
2018-01-08,416.24859619140625,417.43378317683715,409.8203324676665,411.7689071888305,5594690
2018-01-09,418.37799072265625,419.8042761507061,413.3760358775011,417.83561775832084,9948236
2018-01-10,422.7572021484375,424.2638208303635,415.0433341144071,420.56760261480247,9468634
2018-01-11,432.2188720703125,435.2722767239877,423.9625804525928,423.9625804525928,16775298
2018-01-12,433.28338623046875,436.2765645031669,430.1094823931413,436.2363978172968,18016528
2018-01-15,434.3682556152344,439.10905336433154,427.9199075094381,433.90621603943913,10649250
2018-01-16,451.1218566894531,455.9229782513763,434.40844115522646,434.40844115522646,22646966
2018-01-17,462.8735046386719,466.7706550527057,451.18215148374077,451.9254070180735,26154088
2018-01-18,463.11456298828125,468.01612612466954,454.8382125977465,460.02099165745165,13204970
2018-01-19,459.39825439453125,461.18613840055497,456.40512420971095,460.0210098768653,5988278
2018-01-22,462.02978515625,464.8220325012829,454.79801460597827,454.8582891692804,9650214
2018-01-23,472.9175720214844,477.29682033325787,464.0385753240007,464.0385753240007,15403796
2018-01-24,476.4129638671875,490.5751803326993,469.0606446378728,471.9935487999356,20604718
2018-01-25,472.234619140625,475.44873933345747,466.9513992649403,474.8862584909954,13548914
2018-01-29,475.24786376953125,480.61141711101914,468.1365933127734,468.6790153381097,10823002
2018-01-30,470.32623291015625,475.3281878176566,467.13217155844745,473.6407943423408,8628312
2018-01-31,462.1301574707031,468.6990049318389,458.87587101729025,465.70587551805266,9213698
